Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
2.5	20	combined	Drop	0	0	0	0
2.5	21	combined	Drop	0	0	0	0
2.5	22	combined	Drop	0	0	0	0
2.5	23	combined	Drop	0	0	0	0
2.5	24	combined	Drop	0	0	0	0
2.5	25	combined	Drop	0	0	0	0
2.5	26	combined	Drop	0	0	0	0
2.5	27	combined	Drop	0	0	0	0
2.5	28	combined	Drop	0	0	0	0
2.5	29	combined	Drop	0	0	0	0
2.5	30	combined	Drop	0	0	0	0
2.5	31	combined	Drop	0	0	0	0
2.5	32	combined	Drop	0	0	0	0
2.5	33	combined	Drop	0	0	0	0
3	0	combined	Drop	0	0	0	0
3	1	combined	Drop	0	0	0	0
3	2	combined	Drop	0	0	0	0
3	3	combined	Drop	0	0	0	0
3	4	combined	Drop	0	0	0	0
3	5	combined	Drop	0	0	0	0
3	6	combined	Drop	0	0	0	0
3	7	combined	Drop	0	0	0	0
3	8	combined	Drop	0	0	0	0
3	9	combined	Drop	0	0	0	0
3	10	combined	Drop	0	0	0	0
3	11	combined	Drop	0	0	0	0
3	12	combined	Drop	0	0	0	0
3	13	combined	Drop	0	0	0	0
3	14	combined	Drop	0	0	0	0
3	15	combined	Drop	0	0	0	0
3	16	combined	Drop	0	0	0	0
3	17	combined	Drop	0	0	0	0
3	18	combined	Drop	0	0	0	0
3	19	combined	Drop	0	0	0	0
3	20	combined	Drop	0	0	0	0
3	21	combined	Drop	0	0	0	0
3	22	combined	Drop	0	0	0	0
3	23	combined	Drop	0	0	0	0
3	24	combined	Drop	0	0	0	0
3	25	combined	Drop	0	0	0	0
3	26	combined	Drop	0	0	0	0
3	27	combined	Drop	0	0	0	0
3	28	combined	Drop	0	0	0	0
3	29	combined	Drop	0	0	0	0
3	30	combined	Drop	0	0	0	0
3	31	combined	Drop	0	0	0	0
3	32	combined	Drop	0	0	0	0
3	33	combined	Drop	0	0	0	0
3.5	0	combined	Drop	0	0	0	0
3.5	1	combined	Drop	0	0	0	0
3.5	2	combined	Drop	0	0	0	0
3.5	3	combined	Drop	0	0	0	0
3.5	4	combined	Drop	0	0	0	0
3.5	5	combined	Drop	0	0	0	0
3.5	6	combined	Drop	0	0	0	0
3.5	7	combined	Drop	0	0	0	0
3.5	8	combined	Drop	0	0	0	0
3.5	9	combined	Drop	0	0	0	0
3.5	10	combined	Drop	0	0	0	0
3.5	11	combined	Drop	0	0	0	0
3.5	12	combined	Drop	0	0	0	0
3.5	13	combined	Drop	0	0	0	0
3.5	14	combined	Drop	0	0	0	0
3.5	15	combined	Drop	0	0	0	0
3.5	16	combined	Drop	0	0	0	0
3.5	17	combined	Drop	0	0	0	0
3.5	18	combined	Drop	0	0	0	0
3.5	19	combined	Drop	0	0	0	0
3.5	20	combined	Drop	0	0	0	0
3.5	21	combined	Drop	0	0	0	0
3.5	22	combined	Drop	0	0	0	0
3.5	23	combined	Drop	0	0	0	0
3.5	24	combined	Drop	0	0	0	0
3.5	25	combined	Drop	0	0	0	0
3.5	26	combined	Drop	0	0	0	0
3.5	27	combined	Drop	0	0	0	0
3.5	28	combined	Drop	0	0	0	0
3.5	29	combined	Drop	0	0	0	0
3.5	30	combined	Drop	0	0	0	0
3.5	31	combined	Drop	0	0	0	0
3.5	32	combined	Drop	0	0	0	0
3.5	33	combined	Drop	0	0	0	0
4	0	combined	Drop	0	0	0	0
4	1	combined	Drop	0	0	0	0
4	2	combined	Drop	0	0	0	0
4	3	combined	Drop	0	0	0	0
4	4	combined	Drop	0	0	0	0
4	5	combined	Drop	0	0	0	0
4	6	combined	Drop	0	0	0	0
4	7	combined	Drop	0	0	0	0
4	8	combined	Drop	0	0	0	0
4	9	combined	Drop	0	0	0	0
4	10	combined	Drop	0	0	0	0
4	11	combined	Drop	0	0	0	0
4	12	combined	Drop	0	0	0	0
4	13	combined	Drop	0	0	0	0
4	14	combined	Drop	0	0	0	0
4	15	combined	Drop	0	0	0	0
4	16	combined	Drop	0	0	0	0
4	17	combined	Drop	0	0	0	0
4	18	combined	Drop	0	0	0	0
4	19	combined	Drop	0	0	0	0
4	20	combined	Drop	0	0	0	0
4	21	combined	Drop	0	0	0	0
4	22	combined	Drop	0	0	0	0
