+79000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+80000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+81000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+82000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+83000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+84000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+85000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+86000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+87000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+88000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+89000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+90000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+91000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+92000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+93000000000.0ns POS: x=15.1, y=502, z=0; VEL:0, y=0, z=0
+93000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+94000000000.0ns POS: x=15.1, y=502, z=0; VEL:2.06, y=0, z=0
+94000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+95000000000.0ns POS: x=17.16, y=502, z=0; VEL:0, y=0, z=0
+95000000000.0ns POS: x=17.16, y=502, z=0; VEL:3.63, y=0, z=0
+95000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+96000000000.0ns POS: x=20.79, y=502, z=0; VEL:0, y=0, z=0
+96000000000.0ns POS: x=20.79, y=502, z=0; VEL:5.59, y=0, z=0
+96000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+96998211091.0ns POS: x=26.37, y=502, z=0; VEL:0, y=0, z=0
+97000000000.0ns POS: x=26.37, y=502, z=0; VEL:7.71, y=0, z=0
+97000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+98000000000.0ns POS: x=34.08, y=502, z=0; VEL:0, y=0, z=0
