Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
15.9693	2	0	1	LastDelay	0.0814704	81470.4	1	1
16.8878	2	0	1	LastDelay	0	0	1	0
17.8922	2	0	1	LastDelay	0.0043636	4363.6	1	1
17.9725	3	0	1	LastDelay	0.00662533	6625.33	1	1
18.0851	1	0	1	LastDelay	0.00333297	3332.97	1	1
18.1992	11	0	1	LastDelay	0.00414007	4140.07	1	1
18.3097	6	0	1	LastDelay	0.0067226	6722.6	1	1
18.4113	49	0	1	LastDelay	0.209622	209622	1	1
18.8878	2	0	1	LastDelay	0	0	1	0
18.9543	7	0	1	LastDelay	0.00331971	3319.71	1	1
18.9659	3	0	1	LastDelay	0	0	1	0
19.0818	1	0	1	LastDelay	0	0	1	0
19.0831	41	0	1	LastDelay	0.0457258	45725.8	1	1
19.195	11	0	1	LastDelay	0	0	1	0
19.2017	49	0	1	LastDelay	0	0	1	0
19.3029	6	0	1	LastDelay	0	0	1	0
19.951	7	0	1	LastDelay	0	0	1	0
20.0374	41	0	1	LastDelay	0	0	1	0
20.9545	7	0	1	LastDelay	0.0035273	3527.3	1	1
21.1988	11	0	1	LastDelay	0.00371602	3716.02	1	1
21.5219	109	0	1	LastDelay	0.458317	458317	1	1
21.6874	20	0	1	LastDelay	0.00330627	3306.27	1	1
21.951	7	0	1	LastDelay	0	0	1	0
22.0236	24	0	1	LastDelay	0.00330607	3306.07	1	1
22.0636	109	0	1	LastDelay	0	0	1	0
22.0658	62	0	1	LastDelay	0.00330607	3306.07	1	1
22.0851	1	0	1	LastDelay	0.00331932	3319.32	1	1
22.195	11	0	1	LastDelay	0	0	1	0
22.2064	49	0	1	LastDelay	0.00470832	4708.32	1	1
22.277	10	0	1	LastDelay	0.0106706	10670.6	1	1
22.3063	6	0	1	LastDelay	0.00330667	3306.67	1	1
22.6439	58	0	1	LastDelay	0.00688895	6888.95	1	1
22.6841	20	0	1	LastDelay	0	0	1	0
22.7776	36	0	1	LastDelay	0.00356467	3564.68	1	1
22.8666	5	0	1	LastDelay	0.00366329	3663.29	1	1
22.8932	2	0	1	LastDelay	0.00539558	5395.58	1	1
22.9543	7	0	1	LastDelay	0.0033324	3332.4	1	1
22.9671	3	0	1	LastDelay	0.00128141	1281.41	1	1
22.9892	4	0	1	LastDelay	0.00382606	3826.06	1	1
23.0203	24	0	1	LastDelay	0	0	1	0
23.038	41	0	1	LastDelay	0.000588924	588.924	1	1
23.0625	62	0	1	LastDelay	0	0	1	0
23.0818	1	0	1	LastDelay	0	0	1	0
23.1233	8	0	1	LastDelay	0.00437463	4374.63	1	1
23.1475	16	0	1	LastDelay	0.00330709	3307.09	1	1
23.2017	49	0	1	LastDelay	0	0	1	0
23.255	71	0	1	LastDelay	0.00427371	4273.7	1	1
23.2663	10	0	1	LastDelay	0	0	1	0
23.2959	50	0	1	LastDelay	0.003306	3306	1	1
23.3029	6	0	1	LastDelay	0	0	1	0
23.3261	12	0	1	LastDelay	0.00934154	9341.54	1	1
23.4212	75	0	1	LastDelay	0.003306	3306	1	1
23.4406	9	0	1	LastDelay	0.00330685	3306.85	1	1
23.4707	21	0	1	LastDelay	0.00330663	3306.63	1	1
23.5292	17	0	1	LastDelay	0.00684055	6840.55	1	1
23.6367	87	0	1	LastDelay	0.003306	3306	1	1
23.637	58	0	1	LastDelay	0	0	1	0
23.6385	54	0	1	LastDelay	0.00189451	1894.51	1	1
23.6385	76	0	1	LastDelay	0.0127135	12713.5	1	1
23.6554	70	0	1	LastDelay	0.003782	3782	1	1
23.6809	38	0	1	LastDelay	0.0231569	23156.9	1	1
23.6809	88	0	1	LastDelay	0.00285558	2855.58	1	1
23.7271	37	0	1	LastDelay	0.00116134	1161.34	1	1
23.7271	55	0	1	LastDelay	0.00618488	6184.88	1	1
23.774	36	0	1	LastDelay	0	0	1	0
23.7895	0	0	1	LastDelay	0.00339796	3397.96	1	1
23.8243	63	0	1	LastDelay	0.003306	3306	1	1
23.8376	84	0	1	LastDelay	0.000320321	320.321	1	1
23.863	5	0	1	LastDelay	0	0	1	0
23.8878	2	0	1	LastDelay	0	0	1	0
23.951	7	0	1	LastDelay	0	0	1	0
23.9659	3	0	1	LastDelay	0	0	1	0
23.9854	4	0	1	LastDelay	0	0	1	0
24.0277	24	0	1	LastDelay	0.00732919	7329.19	1	1
24.0374	41	0	1	LastDelay	0	0	1	0
24.0851	1	0	1	LastDelay	0.00330651	3306.51	1	1
24.119	8	0	1	LastDelay	0	0	1	0
24.1215	97	0	1	LastDelay	0.00637789	6377.89	1	1
24.1442	16	0	1	LastDelay	0	0	1	0
24.1672	96	0	1	LastDelay	0.0063772	6377.2	1	1
24.1971	25	0	1	LastDelay	0.00944803	9448.03	1	1
24.2073	106	0	1	LastDelay	0.00604471	6044.71	1	1
24.2507	71	0	1	LastDelay	0	0	1	0
24.2648	110	0	1	LastDelay	0.0191315	19131.5	1	1
24.2779	46	0	1	LastDelay	0.00117825	1178.25	1	1
24.2926	50	0	1	LastDelay	0	0	1	0
24.3074	72	0	1	LastDelay	0.00205862	2058.62	1	1
24.3168	12	0	1	LastDelay	0	0	1	0
24.3495	42	0	1	LastDelay	0.00331947	3319.47	1	1
24.4036	89	0	1	LastDelay	0.003306	3306	1	1
24.4179	75	0	1	LastDelay	0	0	1	0
24.4231	59	0	1	LastDelay	0.0103218	10321.8	1	1
24.4373	9	0	1	LastDelay	0	0	1	0
24.4455	33	0	1	LastDelay	0.00494008	4940.08	1	1
24.4674	21	0	1	LastDelay	0	0	1	0
24.5224	17	0	1	LastDelay	0	0	1	0
24.567	104	0	1	LastDelay	0.000713462	713.462	1	1
24.6066	29	0	1	LastDelay	0.00330605	3306.05	1	1
24.6191	67	0	1	LastDelay	0.0031607	3160.7	1	1
24.6258	76	0	1	LastDelay	0	0	1	0
24.6334	87	0	1	LastDelay	0	0	1	0
24.6366	54	0	1	LastDelay	0	0	1	0
24.6516	70	0	1	LastDelay	0	0	1	0
24.6577	38	0	1	LastDelay	0	0	1	0
24.6714	80	0	1	LastDelay	0.022251	22251	1	1
24.678	88	0	1	LastDelay	0	0	1	0
