Time	Node	Type	Packets	
4	19	CacheHits	0
4	19	CacheMisses	2
4	20	CacheHits	0
4	20	CacheMisses	2
4	21	CacheHits	0
4	21	CacheMisses	2
4	22	CacheHits	0
4	22	CacheMisses	2
4	23	CacheHits	0
4	23	CacheMisses	2
4	24	CacheHits	0
4	24	CacheMisses	2
4	25	CacheHits	0
4	25	CacheMisses	2
4	26	CacheHits	0
4	26	CacheMisses	2
4	27	CacheHits	0
4	27	CacheMisses	2
4	28	CacheHits	0
4	28	CacheMisses	2
4	29	CacheHits	0
4	29	CacheMisses	2
4	30	CacheHits	0
4	30	CacheMisses	2
4	31	CacheHits	0
4	31	CacheMisses	2
4	32	CacheHits	0
4	32	CacheMisses	2
4	33	CacheHits	0
4	33	CacheMisses	2
4	34	CacheHits	0
4	34	CacheMisses	2
4	35	CacheHits	0
4	35	CacheMisses	0
5	0	CacheHits	0
5	0	CacheMisses	2
5	1	CacheHits	0
5	1	CacheMisses	2
5	2	CacheHits	0
5	2	CacheMisses	2
5	3	CacheHits	0
5	3	CacheMisses	2
5	4	CacheHits	0
5	4	CacheMisses	2
5	5	CacheHits	0
5	5	CacheMisses	2
5	6	CacheHits	0
5	6	CacheMisses	2
5	7	CacheHits	0
5	7	CacheMisses	2
5	8	CacheHits	0
5	8	CacheMisses	2
5	9	CacheHits	0
5	9	CacheMisses	2
5	10	CacheHits	0
5	10	CacheMisses	2
5	11	CacheHits	0
5	11	CacheMisses	2
5	12	CacheHits	0
5	12	CacheMisses	2
5	13	CacheHits	0
5	13	CacheMisses	2
5	14	CacheHits	0
5	14	CacheMisses	2
5	15	CacheHits	0
5	15	CacheMisses	2
5	16	CacheHits	0
5	16	CacheMisses	2
5	17	CacheHits	0
5	17	CacheMisses	2
5	18	CacheHits	0
5	18	CacheMisses	2
5	19	CacheHits	0
5	19	CacheMisses	2
5	20	CacheHits	0
5	20	CacheMisses	2
5	21	CacheHits	0
5	21	CacheMisses	2
5	22	CacheHits	0
5	22	CacheMisses	2
5	23	CacheHits	0
5	23	CacheMisses	2
5	24	CacheHits	0
5	24	CacheMisses	2
5	25	CacheHits	0
5	25	CacheMisses	2
5	26	CacheHits	0
5	26	CacheMisses	2
5	27	CacheHits	0
5	27	CacheMisses	2
5	28	CacheHits	0
5	28	CacheMisses	2
5	29	CacheHits	0
5	29	CacheMisses	2
5	30	CacheHits	0
5	30	CacheMisses	2
5	31	CacheHits	0
5	31	CacheMisses	2
5	32	CacheHits	0
5	32	CacheMisses	2
5	33	CacheHits	0
5	33	CacheMisses	2
5	34	CacheHits	0
5	34	CacheMisses	2
5	35	CacheHits	0
5	35	CacheMisses	0
6	0	CacheHits	0
6	0	CacheMisses	2
6	1	CacheHits	0
6	1	CacheMisses	2
6	2	CacheHits	0
6	2	CacheMisses	2
6	3	CacheHits	0
6	3	CacheMisses	2
6	4	CacheHits	0
6	4	CacheMisses	2
6	5	CacheHits	0
6	5	CacheMisses	2
6	6	CacheHits	0
6	6	CacheMisses	2
6	7	CacheHits	0
6	7	CacheMisses	2
6	8	CacheHits	0
6	8	CacheMisses	2
6	9	CacheHits	0
6	9	CacheMisses	2
6	10	CacheHits	0
6	10	CacheMisses	2
6	11	CacheHits	0
6	11	CacheMisses	2
6	12	CacheHits	0
6	12	CacheMisses	2
6	13	CacheHits	0
6	13	CacheMisses	2
6	14	CacheHits	0
6	14	CacheMisses	2
6	15	CacheHits	0
6	15	CacheMisses	2
6	16	CacheHits	0
6	16	CacheMisses	2
6	17	CacheHits	0
6	17	CacheMisses	2
6	18	CacheHits	0
6	18	CacheMisses	2
6	19	CacheHits	0
6	19	CacheMisses	2
6	20	CacheHits	0
6	20	CacheMisses	2
6	21	CacheHits	0
6	21	CacheMisses	2
6	22	CacheHits	0
6	22	CacheMisses	2
6	23	CacheHits	0
6	23	CacheMisses	2
6	24	CacheHits	0
6	24	CacheMisses	2
6	25	CacheHits	0
6	25	CacheMisses	2
6	26	CacheHits	0
6	26	CacheMisses	2
6	27	CacheHits	0
6	27	CacheMisses	2
6	28	CacheHits	0
6	28	CacheMisses	2
6	29	CacheHits	0
6	29	CacheMisses	2
6	30	CacheHits	0
6	30	CacheMisses	2
6	31	CacheHits	0
6	31	CacheMisses	2
6	32	CacheHits	0
6	32	CacheMisses	2
6	33	CacheHits	0
6	33	CacheMisses	2
6	34	CacheHits	0
6	34	CacheMisses	2
6	35	CacheHits	0
6	35	CacheMisses	0
7	0	CacheHits	0
7	0	CacheMisses	2
7	1	CacheHits	0
7	1	CacheMisses	2
7	2	CacheHits	0
7	2	CacheMisses	2
7	3	CacheHits	0
7	3	CacheMisses	2
7	4	CacheHits	0
7	4	CacheMisses	2
7	5	CacheHits	0
7	5	CacheMisses	2
7	6	CacheHits	0
7	6	CacheMisses	2
7	7	CacheHits	0
7	7	CacheMisses	2
7	8	CacheHits	0
7	8	CacheMisses	2
7	9	CacheHits	0
7	9	CacheMisses	2
7	10	CacheHits	0
7	10	CacheMisses	2
7	11	CacheHits	0
7	11	CacheMisses	2
7	12	CacheHits	0
7	12	CacheMisses	2
7	13	CacheHits	0
