Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
17.6331	2	0	1	LastDelay	0.24886	248860	1	1
18.2664	6	0	1	LastDelay	0.00331955	3319.55	1	1
18.3842	2	0	1	LastDelay	0	0	1	0
18.6331	3	0	1	LastDelay	0.00334571	3345.71	1	1
19.038	7	0	1	LastDelay	0.00330643	3306.43	1	1
19.263	6	0	1	LastDelay	0	0	1	0
19.6297	3	0	1	LastDelay	0	0	1	0
20.0347	7	0	1	LastDelay	0	0	1	0
21.3875	2	0	1	LastDelay	0.00330606	3306.06	1	1
22.038	7	0	1	LastDelay	0.00333249	3332.49	1	1
22.3842	2	0	1	LastDelay	0	0	1	0
22.633	3	0	1	LastDelay	0.00331907	3319.07	1	1
22.6994	11	0	1	LastDelay	0.00331974	3319.74	1	1
22.7664	0	0	1	LastDelay	0.00330652	3306.52	1	1
23.0347	7	0	1	LastDelay	0	0	1	0
23.3906	2	0	1	LastDelay	0.00639097	6390.97	1	1
23.6297	3	0	1	LastDelay	0	0	1	0
23.6961	11	0	1	LastDelay	0	0	1	0
23.7631	0	0	1	LastDelay	0	0	1	0
24.0381	7	0	1	LastDelay	0.00339709	3397.09	1	1
24.2272	1	0	1	LastDelay	0.00330621	3306.21	1	1
24.2667	4	0	1	LastDelay	0.707529	707529	1	1
24.3842	2	0	1	LastDelay	0	0	1	0
24.5592	4	0	1	LastDelay	0	0	1	0
24.7664	0	0	1	LastDelay	0.0033063	3306.3	1	1
25.0347	7	0	1	LastDelay	0	0	1	0
25.2239	1	0	1	LastDelay	0	0	1	0
25.7051	8	0	1	LastDelay	0.00752458	7524.58	1	1
25.7631	0	0	1	LastDelay	0	0	1	0
26.0387	5	0	1	LastDelay	0.00336989	3369.89	1	1
26.1889	12	0	1	LastDelay	0.00650788	6507.88	1	1
26.6975	8	0	1	LastDelay	0	0	1	0
26.7664	0	0	1	LastDelay	0.00331933	3319.33	1	1
27.0354	5	0	1	LastDelay	0	0	1	0
27.038	7	0	1	LastDelay	0.00330652	3306.52	1	1
27.1381	14	0	1	LastDelay	0.00330631	3306.31	1	1
27.1824	12	0	1	LastDelay	0	0	1	0
27.2272	1	0	1	LastDelay	0.00331913	3319.13	1	1
27.2663	6	0	1	LastDelay	0.00330677	3306.77	1	1
27.3875	2	0	1	LastDelay	0.00330645	3306.45	1	1
27.7038	8	0	1	LastDelay	0.0062165	6216.5	1	1
27.7631	0	0	1	LastDelay	0	0	1	0
28.0347	7	0	1	LastDelay	0	0	1	0
28.0387	5	0	1	LastDelay	0.00333241	3332.41	1	1
28.1348	14	0	1	LastDelay	0	0	1	0
28.1889	12	0	1	LastDelay	0.00644274	6442.74	1	1
28.2066	26	0	1	LastDelay	0.00366326	3663.26	1	1
28.2239	1	0	1	LastDelay	0	0	1	0
28.263	6	0	1	LastDelay	0	0	1	0
28.273	22	0	1	LastDelay	0.00331955	3319.55	1	1
28.273	53	0	1	LastDelay	0.968751	968751	1	1
28.273	81	0	1	LastDelay	0.392172	392172	1	1
28.273	125	0	1	LastDelay	0.961323	961323	1	1
28.3043	53	0	1	LastDelay	0	0	1	0
28.3117	125	0	1	LastDelay	0	0	1	0
28.3842	2	0	1	LastDelay	0	0	1	0
28.4764	41	0	1	LastDelay	0.00139973	1399.73	1	1
28.6975	8	0	1	LastDelay	0	0	1	0
28.6994	11	0	1	LastDelay	0.00331905	3319.05	1	1
28.7501	113	0	1	LastDelay	0.003306	3306	1	1
28.7657	65	0	1	LastDelay	0.00307643	3076.43	1	1
28.7664	16	0	1	LastDelay	0.575341	575341	1	1
28.8092	34	0	1	LastDelay	0.00651012	6510.12	1	1
28.8809	81	0	1	LastDelay	0	0	1	0
28.8957	57	0	1	LastDelay	0.0177281	17728.1	1	1
28.8957	60	0	1	LastDelay	0.0301148	30114.8	1	1
28.8957	77	0	1	LastDelay	0.0076007	7600.7	1	1
28.929	69	0	1	LastDelay	0.00858043	8580.43	1	1
29.0354	5	0	1	LastDelay	0	0	1	0
29.133	121	0	1	LastDelay	0.0023999	2399.91	1	1
29.167	129	0	1	LastDelay	0.00166091	1660.91	1	1
29.1824	12	0	1	LastDelay	0	0	1	0
29.1911	16	0	1	LastDelay	0	0	1	0
29.2029	26	0	1	LastDelay	0	0	1	0
29.218	89	0	1	LastDelay	0.003306	3306	1	1
29.2664	6	0	1	LastDelay	0.0033452	3345.2	1	1
29.2697	22	0	1	LastDelay	0	0	1	0
29.3158	53	0	1	LastDelay	0.011551	11551	1	1
29.3158	85	0	1	LastDelay	0.0838337	83833.7	1	1
29.3158	92	0	1	LastDelay	0.00258949	2589.49	1	1
29.3158	125	0	1	LastDelay	0.0041234	4123.4	1	1
29.3158	30	0	1	LastDelay	0.00626301	6263.01	1	1
29.3576	97	0	1	LastDelay	0.00281851	2818.51	1	1
29.3835	44	0	1	LastDelay	0.0120226	12022.6	1	1
29.3835	105	0	1	LastDelay	0.0113764	11376.4	1	1
29.3964	2	0	1	LastDelay	0.0122075	12207.5	1	1
29.475	41	0	1	LastDelay	0	0	1	0
29.5005	37	0	1	LastDelay	3.047e-06	3.047	1	1
29.5621	73	0	1	LastDelay	0.003306	3306	1	1
29.6614	10	0	1	LastDelay	0.00330609	3306.09	1	1
29.6961	11	0	1	LastDelay	0	0	1	0
29.7468	113	0	1	LastDelay	0	0	1	0
29.7627	65	0	1	LastDelay	0	0	1	0
29.8027	34	0	1	LastDelay	0	0	1	0
29.8288	109	0	1	LastDelay	0.003306	3306	1	1
29.8656	60	0	1	LastDelay	0	0	1	0
29.878	57	0	1	LastDelay	0	0	1	0
29.8881	77	0	1	LastDelay	0	0	1	0
29.9204	69	0	1	LastDelay	0	0	1	0
30.1191	117	0	1	LastDelay	0.003306	3306	1	1
30.1306	121	0	1	LastDelay	0	0	1	0
30.1562	9	0	1	LastDelay	0.00330639	3306.39	1	1
30.1653	129	0	1	LastDelay	0	0	1	0
30.2147	89	0	1	LastDelay	0	0	1	0
30.2272	1	0	1	LastDelay	0.00330613	3306.13	1	1
30.232	85	0	1	LastDelay	0	0	1	0
30.263	6	0	1	LastDelay	0	0	1	0
30.273	22	0	1	LastDelay	0.00333267	3332.67	1	1
30.3043	53	0	1	LastDelay	0	0	1	0
30.3096	30	0	1	LastDelay	0	0	1	0
30.3117	125	0	1	LastDelay	0	0	1	0
30.3132	92	0	1	LastDelay	0	0	1	0
30.3548	97	0	1	LastDelay	0	0	1	0
30.3714	44	0	1	LastDelay	0	0	1	0
30.3721	105	0	1	LastDelay	0	0	1	0
30.3842	2	0	1	LastDelay	0	0	1	0
30.4716	101	0	1	LastDelay	0.003306	3306	1	1
30.5005	37	0	1	LastDelay	0	0	1	0
30.5588	73	0	1	LastDelay	0	0	1	0
30.5625	4	0	1	LastDelay	0.00331922	3319.22	1	1
30.5983	13	0	1	LastDelay	0.00331954	3319.54	1	1
30.6581	10	0	1	LastDelay	0	0	1	0
30.6998	8	0	1	LastDelay	0.00223686	2236.86	1	1
30.8255	109	0	1	LastDelay	0	0	1	0
30.8813	57	0	1	LastDelay	0.003319	3319	1	1
30.8813	81	0	1	LastDelay	0.000454849	454.849	1	1
30.9004	77	0	1	LastDelay	0.0122939	12293.9	1	1
30.9519	18	0	1	LastDelay	0.00330652	3306.52	1	1
31.0389	5	0	1	LastDelay	0.00356658	3566.58	1	1
31.1158	117	0	1	LastDelay	0	0	1	0
31.1412	14	0	1	LastDelay	0.00637717	6377.17	1	1
31.1529	9	0	1	LastDelay	0	0	1	0
31.1826	12	0	1	LastDelay	0.000144972	144.972	1	1
31.2239	1	0	1	LastDelay	0	0	1	0
31.2697	22	0	1	LastDelay	0	0	1	0
31.3061	53	0	1	LastDelay	0.00179618	1796.18	1	1
31.3214	92	0	1	LastDelay	0.00818361	8183.61	1	1
31.3214	125	0	1	LastDelay	0.00971752	9717.52	1	1
31.3214	30	0	1	LastDelay	0.0118574	11857.4	1	1
31.3796	44	0	1	LastDelay	0.00818343	8183.43	1	1
31.3927	2	0	1	LastDelay	0.00849829	8498.29	1	1
31.3936	17	0	1	LastDelay	0.00342368	3423.68	1	1
31.4682	101	0	1	LastDelay	0	0	1	0
31.5592	4	0	1	LastDelay	0	0	1	0
31.595	13	0	1	LastDelay	0	0	1	0
31.6614	10	0	1	LastDelay	0.00330643	3306.43	1	1
31.6975	8	0	1	LastDelay	0	0	1	0
31.6994	11	0	1	LastDelay	0.00331954	3319.54	1	1
31.764	65	0	1	LastDelay	0.00134432	1344.33	1	1
31.7664	0	0	1	LastDelay	0.00331916	3319.16	1	1
31.878	57	0	1	LastDelay	0	0	1	0
31.8809	81	0	1	LastDelay	0	0	1	0
31.8881	77	0	1	LastDelay	0	0	1	0
31.9486	18	0	1	LastDelay	0	0	1	0
32.0354	5	0	1	LastDelay	0	0	1	0
32.1348	14	0	1	LastDelay	0	0	1	0
32.1374	121	0	1	LastDelay	0.00674051	6740.51	1	1
32.1646	15	0	1	LastDelay	0.00228664	2286.64	1	1
32.1824	12	0	1	LastDelay	0	0	1	0
32.2094	26	0	1	LastDelay	0.00652075	6520.75	1	1
32.2699	6	0	1	LastDelay	0.00683821	6838.21	1	1
32.2699	22	0	1	LastDelay	0.000158509	158.509	1	1
32.3043	53	0	1	LastDelay	0	0	1	0
32.3096	30	0	1	LastDelay	0	0	1	0
32.3117	125	0	1	LastDelay	0	0	1	0
32.3132	92	0	1	LastDelay	0	0	1	0
32.3714	44	0	1	LastDelay	0	0	1	0
32.3842	2	0	1	LastDelay	0	0	1	0
32.3901	17	0	1	LastDelay	0	0	1	0
32.4826	41	0	1	LastDelay	0.00763987	7639.87	1	1
32.5621	73	0	1	LastDelay	0.00330604	3306.04	1	1
32.6581	10	0	1	LastDelay	0	0	1	0
32.6961	11	0	1	LastDelay	0	0	1	0
32.7627	65	0	1	LastDelay	0	0	1	0
32.7631	0	0	1	LastDelay	0	0	1	0
32.8822	57	0	1	LastDelay	0.00420252	4202.52	1	1
32.8822	81	0	1	LastDelay	0.00133837	1338.37	1	1
32.8895	77	0	1	LastDelay	0.00136512	1365.12	1	1
32.9519	18	0	1	LastDelay	0.00330616	3306.16	1	1
33.1306	121	0	1	LastDelay	0	0	1	0
33.1381	14	0	1	LastDelay	0.00330621	3306.21	1	1
33.1562	9	0	1	LastDelay	0.00330658	3306.58	1	1
33.1623	15	0	1	LastDelay	0	0	1	0
33.1686	129	0	1	LastDelay	0.00330606	3306.06	1	1
33.2029	26	0	1	LastDelay	0	0	1	0
33.2275	1	0	1	LastDelay	0.00364969	3649.69	1	1
33.263	6	0	1	LastDelay	0	0	1	0
33.2697	22	0	1	LastDelay	0	0	1	0
33.3208	53	0	1	LastDelay	0.0165684	16568.4	1	1
33.3208	92	0	1	LastDelay	0.00760693	7606.93	1	1
33.3208	125	0	1	LastDelay	0.00914085	9140.85	1	1
33.3575	97	0	1	LastDelay	0.00273689	2736.89	1	1
33.3818	105	0	1	LastDelay	0.00974943	9749.42	1	1
33.4047	2	0	1	LastDelay	0.0204254	20425.4	1	1
33.475	41	0	1	LastDelay	0	0	1	0
33.5588	73	0	1	LastDelay	0	0	1	0
33.5625	4	0	1	LastDelay	0.00331903	3319.03	1	1
33.5983	13	0	1	LastDelay	0.00331929	3319.29	1	1
33.6614	10	0	1	LastDelay	0.0033067	3306.7	1	1
33.7533	113	0	1	LastDelay	0.006497	6497	1	1
33.7634	65	0	1	LastDelay	0.000710371	710.371	1	1
33.8288	109	0	1	LastDelay	0.003306	3306	1	1
33.878	57	0	1	LastDelay	0	0	1	0
33.8809	81	0	1	LastDelay	0	0	1	0
33.8881	77	0	1	LastDelay	0	0	1	0
33.9237	69	0	1	LastDelay	0.00330615	3306.15	1	1
