Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
5	30	combined	Drop	0	0	0	0
5	31	combined	Drop	0	0	0	0
5	32	combined	Drop	0	0	0	0
5	33	combined	Drop	0	0	0	0
6	0	combined	Drop	0	0	0	0
6	1	combined	Drop	0	0	0	0
6	2	combined	Drop	0	0	0	0
6	3	combined	Drop	0	0	0	0
6	4	combined	Drop	0	0	0	0
6	5	combined	Drop	0	0	0	0
6	6	combined	Drop	0	0	0	0
6	7	combined	Drop	0	0	0	0
6	8	combined	Drop	0	0	0	0
6	9	combined	Drop	0	0	0	0
6	10	combined	Drop	0	0	0	0
6	11	combined	Drop	0	0	0	0
6	12	combined	Drop	0	0	0	0
6	13	combined	Drop	0	0	0	0
6	14	combined	Drop	0	0	0	0
6	15	combined	Drop	0	0	0	0
6	16	combined	Drop	0	0	0	0
6	17	combined	Drop	0	0	0	0
6	18	combined	Drop	0	0	0	0
6	19	combined	Drop	0	0	0	0
6	20	combined	Drop	0	0	0	0
6	21	combined	Drop	0	0	0	0
6	22	combined	Drop	0	0	0	0
6	23	combined	Drop	0	0	0	0
6	24	combined	Drop	0	0	0	0
6	25	combined	Drop	0	0	0	0
6	26	combined	Drop	0	0	0	0
6	27	combined	Drop	0	0	0	0
6	28	combined	Drop	0	0	0	0
6	29	combined	Drop	0	0	0	0
6	30	combined	Drop	0	0	0	0
6	31	combined	Drop	0	0	0	0
6	32	combined	Drop	0	0	0	0
6	33	combined	Drop	0	0	0	0
7	0	combined	Drop	0	0	0	0
7	1	combined	Drop	0	0	0	0
7	2	combined	Drop	0	0	0	0
7	3	combined	Drop	0	0	0	0
7	4	combined	Drop	0	0	0	0
7	5	combined	Drop	0	0	0	0
7	6	combined	Drop	0	0	0	0
7	7	combined	Drop	0	0	0	0
7	8	combined	Drop	0	0	0	0
7	9	combined	Drop	0	0	0	0
7	10	combined	Drop	0	0	0	0
7	11	combined	Drop	0	0	0	0
7	12	combined	Drop	0	0	0	0
7	13	combined	Drop	0	0	0	0
7	14	combined	Drop	0	0	0	0
7	15	combined	Drop	0	0	0	0
7	16	combined	Drop	0	0	0	0
7	17	combined	Drop	0	0	0	0
7	18	combined	Drop	0	0	0	0
7	19	combined	Drop	0	0	0	0
7	20	combined	Drop	0	0	0	0
7	21	combined	Drop	0	0	0	0
7	22	combined	Drop	0	0	0	0
7	23	combined	Drop	0	0	0	0
7	24	combined	Drop	0	0	0	0
7	25	combined	Drop	0	0	0	0
7	26	combined	Drop	0	0	0	0
7	27	combined	Drop	0	0	0	0
7	28	combined	Drop	0	0	0	0
7	29	combined	Drop	0	0	0	0
7	30	combined	Drop	0	0	0	0
7	31	combined	Drop	0	0	0	0
7	32	combined	Drop	0	0	0	0
7	33	combined	Drop	0	0	0	0
8	0	combined	Drop	0	0	0	0
8	1	combined	Drop	0	0	0	0
8	2	combined	Drop	0	0	0	0
8	3	combined	Drop	0	0	0	0
8	4	combined	Drop	0	0	0	0
8	5	combined	Drop	0	0	0	0
8	6	combined	Drop	0	0	0	0
8	7	combined	Drop	0	0	0	0
8	8	combined	Drop	0	0	0	0
8	9	combined	Drop	0	0	0	0
8	10	combined	Drop	0	0	0	0
8	11	combined	Drop	0	0	0	0
8	12	combined	Drop	0	0	0	0
8	13	combined	Drop	0	0	0	0
8	14	combined	Drop	0	0	0	0
8	15	combined	Drop	0	0	0	0
8	16	combined	Drop	0	0	0	0
8	17	combined	Drop	0	0	0	0
8	18	combined	Drop	0	0	0	0
8	19	combined	Drop	0	0	0	0
8	20	combined	Drop	0	0	0	0
8	21	combined	Drop	0	0	0	0
8	22	combined	Drop	0	0	0	0
8	23	combined	Drop	0	0	0	0
8	24	combined	Drop	0	0	0	0
8	25	combined	Drop	0	0	0	0
8	26	combined	Drop	0	0	0	0
8	27	combined	Drop	0	0	0	0
8	28	combined	Drop	0	0	0	0
8	29	combined	Drop	0	0	0	0
8	30	combined	Drop	0	0	0	0
8	31	combined	Drop	0	0	0	0
8	32	combined	Drop	0	0	0	0
8	33	combined	Drop	0	0	0	0
9	0	combined	Drop	0	0	0	0
9	1	combined	Drop	0	0	0	0
9	2	combined	Drop	0	0	0	0
9	3	combined	Drop	0	0	0	0
9	4	combined	Drop	0	0	0	0
9	5	combined	Drop	0	0	0	0
9	6	combined	Drop	0	0	0	0
9	7	combined	Drop	0	0	0	0
9	8	combined	Drop	0	0	0	0
9	9	combined	Drop	0	0	0	0
9	10	combined	Drop	0	0	0	0
9	11	combined	Drop	0	0	0	0
9	12	combined	Drop	0	0	0	0
9	13	combined	Drop	0	0	0	0
9	14	combined	Drop	0	0	0	0
9	15	combined	Drop	0	0	0	0
9	16	combined	Drop	0	0	0	0
9	17	combined	Drop	0	0	0	0
9	18	combined	Drop	0	0	0	0
9	19	combined	Drop	0	0	0	0
9	20	combined	Drop	0	0	0	0
9	21	combined	Drop	0	0	0	0
9	22	combined	Drop	0	0	0	0
9	23	combined	Drop	0	0	0	0
9	24	combined	Drop	0	0	0	0
9	25	combined	Drop	0	0	0	0
9	26	combined	Drop	0	0	0	0
9	27	combined	Drop	0	0	0	0
9	28	combined	Drop	0	0	0	0
9	29	combined	Drop	0	0	0	0
9	30	combined	Drop	0	0	0	0
9	31	combined	Drop	0	0	0	0
9	32	combined	Drop	0	0	0	0
9	33	combined	Drop	0	0	0	0
10	0	combined	Drop	0	0	0	0
10	1	combined	Drop	0	0	0	0
10	2	combined	Drop	0	0	0	0
10	3	combined	Drop	0	0	0	0
10	4	combined	Drop	0	0	0	0
10	5	combined	Drop	0	0	0	0
10	6	combined	Drop	0	0	0	0
10	7	combined	Drop	0	0	0	0
10	8	combined	Drop	0	0	0	0
10	9	combined	Drop	0	0	0	0
10	10	combined	Drop	0	0	0	0
10	11	combined	Drop	0	0	0	0
10	12	combined	Drop	0	0	0	0
10	13	combined	Drop	0	0	0	0
10	14	combined	Drop	0	0	0	0
10	15	combined	Drop	0	0	0	0
10	16	combined	Drop	0	0	0	0
10	17	combined	Drop	0	0	0	0
10	18	combined	Drop	0	0	0	0
10	19	combined	Drop	0	0	0	0
10	20	combined	Drop	0	0	0	0
10	21	combined	Drop	0	0	0	0
10	22	combined	Drop	0	0	0	0
10	23	combined	Drop	0	0	0	0
10	24	combined	Drop	0	0	0	0
10	25	combined	Drop	0	0	0	0
10	26	combined	Drop	0	0	0	0
10	27	combined	Drop	0	0	0	0
10	28	combined	Drop	0	0	0	0
10	29	combined	Drop	0	0	0	0
10	30	combined	Drop	0	0	0	0
10	31	combined	Drop	0	0	0	0
10	32	combined	Drop	0	0	0	0
10	33	combined	Drop	0	0	0	0
11	0	combined	Drop	0	0	0	0
11	1	combined	Drop	0	0	0	0
11	2	combined	Drop	0	0	0	0
11	3	combined	Drop	0	0	0	0
11	4	combined	Drop	0	0	0	0
11	5	combined	Drop	0	0	0	0
11	6	combined	Drop	0	0	0	0
11	7	combined	Drop	0	0	0	0
11	8	combined	Drop	0	0	0	0
11	9	combined	Drop	0	0	0	0
11	10	combined	Drop	0	0	0	0
11	11	combined	Drop	0	0	0	0
11	12	combined	Drop	0	0	0	0
11	13	combined	Drop	0	0	0	0
11	14	combined	Drop	0	0	0	0
11	15	combined	Drop	0	0	0	0
11	16	combined	Drop	0	0	0	0
11	17	combined	Drop	0	0	0	0
11	18	combined	Drop	0	0	0	0
11	19	combined	Drop	0	0	0	0
11	20	combined	Drop	0	0	0	0
11	21	combined	Drop	0	0	0	0
11	22	combined	Drop	0	0	0	0
11	23	combined	Drop	0	0	0	0
11	24	combined	Drop	0	0	0	0
11	25	combined	Drop	0	0	0	0
11	26	combined	Drop	0	0	0	0
11	27	combined	Drop	0	0	0	0
11	28	combined	Drop	0	0	0	0
11	29	combined	Drop	0	0	0	0
11	30	combined	Drop	0	0	0	0
11	31	combined	Drop	0	0	0	0
11	32	combined	Drop	0	0	0	0
11	33	combined	Drop	0	0	0	0
12	0	combined	Drop	0	0	0	0
12	1	combined	Drop	0	0	0	0
12	2	combined	Drop	0	0	0	0
12	3	combined	Drop	0	0	0	0
12	4	combined	Drop	0	0	0	0
12	5	combined	Drop	0	0	0	0
12	6	combined	Drop	0	0	0	0
12	7	combined	Drop	0	0	0	0
12	8	combined	Drop	0	0	0	0
12	9	combined	Drop	0	0	0	0
12	10	combined	Drop	0	0	0	0
12	11	combined	Drop	0	0	0	0
12	12	combined	Drop	0	0	0	0
12	13	combined	Drop	0	0	0	0
12	14	combined	Drop	0	0	0	0
12	15	combined	Drop	0	0	0	0
12	16	combined	Drop	0	0	0	0
12	17	combined	Drop	0	0	0	0
12	18	combined	Drop	0	0	0	0
