Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
15.1529	15	0	1	LastDelay	0	0	1	2
15.1824	18	0	1	LastDelay	0	0	1	3
15.1911	22	0	1	LastDelay	0	0	1	3
15.2154	30	0	1	LastDelay	0	0	1	3
15.2239	7	0	1	LastDelay	0	0	1	2
15.2623	69	0	1	LastDelay	0	0	1	3
15.3117	131	0	1	LastDelay	0	0	1	3
15.3629	97	0	1	LastDelay	0	0	1	3
15.3702	73	0	1	LastDelay	0	0	1	3
15.3795	105	0	1	LastDelay	0	0	1	3
15.3811	89	0	1	LastDelay	0	0	1	3
15.4607	121	0	1	LastDelay	0	0	1	3
15.4809	65	0	1	LastDelay	0	0	1	3
15.542	53	0	1	LastDelay	0	0	1	3
15.5724	109	0	1	LastDelay	0	0	1	3
15.6372	26	0	1	LastDelay	0	0	1	3
15.6531	57	0	1	LastDelay	0	0	1	3
15.6937	34	0	1	LastDelay	0	0	1	3
15.7859	61	0	1	LastDelay	0	0	1	3
15.8224	101	0	1	LastDelay	0	0	1	3
15.8597	77	0	1	LastDelay	0	0	1	3
15.8645	81	0	1	LastDelay	0	0	1	3
15.9135	41	0	1	LastDelay	0	0	1	3
15.9281	3	0	1	LastDelay	0	0	1	1
15.9673	113	0	1	LastDelay	0	0	1	3
16.0082	117	0	1	LastDelay	0	0	1	3
16.0354	11	0	1	LastDelay	0	0	1	2
16.0919	85	0	1	LastDelay	0	0	1	3
16.1306	127	0	1	LastDelay	0	0	1	3
16.1419	38	0	1	LastDelay	0	0	1	3
16.5718	2	0	1	LastDelay	0.00334394	3343.94	1	1
16.7725	6	0	1	LastDelay	0.00942664	9426.64	1	1
16.7725	10	0	1	LastDelay	0.213338	213338	1	1
16.83	47	0	1	LastDelay	0.355007	355007	1	1
16.8885	83	0	1	LastDelay	0.000418057	418.057	1	1
16.8885	87	0	1	LastDelay	0.00768131	7681.31	1	1
16.9314	3	0	1	LastDelay	0.00338284	3382.84	1	1
17.0403	11	0	1	LastDelay	0.00498298	4982.98	1	1
17.0425	130	0	1	LastDelay	0.00333	3330	1	1
17.1515	49	0	1	LastDelay	0.00601514	6015.14	1	1
17.2316	7	0	1	LastDelay	0.00775639	7756.39	1	1
17.2369	45	0	1	LastDelay	0.0210519	21051.9	1	1
17.2438	91	0	1	LastDelay	0.0118311	11831.1	1	1
17.3103	59	0	1	LastDelay	0.00599208	5992.08	1	1
17.3581	103	0	1	LastDelay	0.003343	3343	1	1
17.3726	111	0	1	LastDelay	0.000525774	525.774	1	1
17.3921	89	0	1	LastDelay	0.0109779	10977.9	1	1
17.3921	105	0	1	LastDelay	0.0125655	12565.5	1	1
17.3944	23	0	1	LastDelay	0.00428521	4285.21	1	1
17.475	47	0	1	LastDelay	0	0	1	0
17.5019	43	0	1	LastDelay	0.00135218	1352.18	1	1
17.5019	99	0	1	LastDelay	0.0285568	28556.8	1	1
17.5258	39	0	1	LastDelay	0.0115179	11517.9	1	1
17.5258	55	0	1	LastDelay	0.0112943	11294.3	1	1
17.5592	10	0	1	LastDelay	0	0	1	0
17.5617	79	0	1	LastDelay	0.00290409	2904.09	1	1
17.5685	2	0	1	LastDelay	0	0	1	0
17.5789	109	0	1	LastDelay	0.00649131	6491.31	1	1
17.5983	19	0	1	LastDelay	0.0033301	3330.1	1	1
17.6243	51	0	1	LastDelay	0.00763219	7632.19	1	1
